./images/train/2020-06-22_16-06-25_CU.jpg,83,53,153,128,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,348,94,420,155,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,111,206,176,270,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,218,537,289,601,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,172,617,231,697,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,744,634,808,718,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,590,843,664,920,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,1147,868,1222,944,WBC
./images/train/2020-06-22_16-06-25_CU.jpg,2,830,65,885,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,52,691,118,759,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,123,713,190,776,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,390,502,454,565,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,166,488,232,554,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,554,728,623,798,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,804,793,867,861,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,764,875,827,944,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,963,700,1035,770,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,1225,871,1275,935,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,390,0,464,46,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,150,86,222,153,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,313,220,372,283,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,122,297,188,357,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,1228,0,1276,43,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,1066,40,1133,107,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,1037,94,1101,155,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,940,414,1000,477,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,770,360,832,430,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,745,443,811,502,RBC
./images/train/2020-06-22_16-06-25_CU.jpg,9,12,26,28,Platelets
./images/train/2020-06-22_16-06-25_CU.jpg,60,77,79,96,Platelets
./images/train/2020-06-22_16-06-25_CU.jpg,4,140,24,159,Platelets
./images/train/2020-06-22_16-06-25_CU.jpg,274,0,288,10,Platelets
./images/train/2020-06-22_16-06-25_CU.jpg,211,17,230,37,Platelets
./images/train/2020-06-22_16-06-25_CU.jpg,228,30,245,48,Platelets
